Rank,Model,RMSE,STD
1,Voting Weight (3:1),17.915911751275374,2.8504803760730963
2,Voting Weight (2:1),17.92036335301585,2.7732846330149674
3,Voting Weight (4:1),17.92870561236097,2.9007139303393563
4,Voting Weight (5:1),17.94367992020352,2.935662078678477
5,Voting Weight (6:1),17.95752955900484,2.961283512441845
6,Voting Equal,18.025367702123493,2.6475509604209644
7,CatBoost,18.095566176000258,3.124673316045111
8,Extra Trees,19.07536281648448,2.5434646416427116
